Package             Version           
sysfsutils 2.1.0-11
system-config-printer 1.5.12-2
systemd-fsck-silent 239-1
systemd-kcm 1.2.1-4
systemd-sysvcompat 242.153-2
systemsettings 5.17.4-1
tar 1.32-3
terminus-font 4.48-1
texinfo 6.7-2
the_silver_searcher 2.2.0-1
thunderbird 68.4.1-0.1
tlp 1.2.2-1.1
tmux 3.0_a-1
tmux-bash-completion r15.509f018-1
tomcat9 9.0.30-1
trizen 1.58-1
ttf-bitstream-vera 1.10-12
ttf-droid 20121017-7.2
ttf-inconsolata 1:2.0.0.1-3
ttf-indic-otf 0.2-9
ttf-liberation 2.00.5-2
udiskie 1.7.7-3
udisks2 2.8.4-1
unarchiver 1.10.1-8
unzip 6.0-13
usb_modeswitch 2.6.0-1
usbutils 012-2
user-manager 5.17.4-1
util-linux 2.34-8
uuid 1.6.2-18
vi 1:070224-4
vim 8.1.2268-2
virtualbox 6.1.0-1
visual-studio-code-bin 1.41.0-1
vlc 3.0.8-7
wallpapers-2018 1.2-1
wallpapers-juhraya 1.1-2
wget 1.20.3-2
which 2.21-5
wpa_supplicant 2:2.9-3
xclip 0.13-2
xdg-desktop-portal 1.6.0-1
xdg-desktop-portal-kde 5.17.4-1
xdg-su 1.2.3-1
xdg-user-dirs 0.17-2
xdg-utils 1.1.3+18+g0547886-4
xf86-input-elographics 1.4.2-1
xf86-input-evdev 2.10.6-1
xf86-input-keyboard 1.9.0-3
xf86-input-libinput 0.29.0-1
xf86-input-mouse 1.9.3-1
xf86-input-void 1.4.1-4
xf86-video-intel 1:2.99.917+899+gf66d3954-1
xfsprogs 5.3.0-1
xorg-server 1.20.6-2
xorg-twm 1.0.10-1
xorg-xinit 1.4.1-1
xorg-xinput 1.6.3-1
xorg-xkill 1.0.5-1
yakuake 19.12.0-1
yarn 1.21.1-1
yay 9.4.2-1
zsh 5.7.1-1
zsh-completions 0.31.0-1
zsh-you-should-use 1.6.0-1
